name,address,latitude,longitude,rating,types
,,,,4.8,"dessert_shop, confectionery, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4.5,"mexican_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.3,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,2.6,"gas_station, atm, convenience_store, finance, restaurant, food_store, food, point_of_interest, store, establishment"
,,,,4.6,"chinese_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4,"deli, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4,"seafood_restaurant, brunch_restaurant, dessert_restaurant, sports_club, event_venue, bar_and_grill, restaurant, bar, point_of_interest, food, establishment"
,,,,4.4,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.1,"mexican_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.4,"pizza_restaurant, meal_takeaway, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.2,"restaurant, brunch_restaurant, coffee_shop, breakfast_restaurant, cafe, food_store, point_of_interest, food, store, establishment"
,,,,4.5,"bagel_shop, deli, breakfast_restaurant, bakery, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4.5,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.1,"japanese_restaurant, steak_house, sushi_restaurant, asian_restaurant, seafood_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.3,"bar_and_grill, restaurant, bar, point_of_interest, food, establishment"
,,,,4.6,"pizza_restaurant, cafe, restaurant, point_of_interest, food, establishment"
,,,,4.4,"pizza_restaurant, restaurant, point_of_interest, food, establishment"
,,,,3.3,"fast_food_restaurant, hamburger_restaurant, coffee_shop, sandwich_shop, breakfast_restaurant, cafe, american_restaurant, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,3.6,"coffee_shop, fast_food_restaurant, bagel_shop, breakfast_restaurant, meal_takeaway, cafe, donut_shop, bakery, food_store, restaurant, point_of_interest, food, store, establishment"
,,,,4.4,"pizza_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.2,"pizza_restaurant, meal_takeaway, meal_delivery, food_delivery, italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"acai_shop, brazilian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.7,"bar_and_grill, bar, restaurant, food, point_of_interest, establishment"
,,,,4.3,"breakfast_restaurant, coffee_shop, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.4,"restaurant, bakery, food_store, store, point_of_interest, food, establishment"
,,,,4.3,"diner, breakfast_restaurant, american_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"bar, restaurant, point_of_interest, food, establishment"
,,,,4.3,"italian_restaurant, pizza_restaurant, bar, restaurant, point_of_interest, food, establishment"
,,,,4.4,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.4,"italian_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.5,"mediterranean_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.2,"coffee_shop, internet_cafe, breakfast_restaurant, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.9,"fast_food_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.4,"pizza_restaurant, meal_delivery, food_delivery, restaurant, point_of_interest, food, establishment"
,,,,4.8,"italian_restaurant, pizza_restaurant, brunch_restaurant, catering_service, meal_delivery, food_delivery, meal_takeaway, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.5,"mexican_restaurant, restaurant, point_of_interest, food, establishment"
,,,,4.8,"japanese_restaurant, sushi_restaurant, restaurant, point_of_interest, food, establishment"
,,,,3.7,"coffee_shop, bagel_shop, donut_shop, fast_food_restaurant, meal_takeaway, breakfast_restaurant, bakery, cafe, food_store, store, restaurant, point_of_interest, food, establishment"
,,,,4.3,"seafood_restaurant, restaurant, point_of_interest, food, establishment"
,,,,3.7,"chinese_restaurant, restaurant, point_of_interest, food, establishment"
